id,ncesId,name,state,county,city,address,zip,lat,lng,sector,charter,magnet,christian,religiousOrientation,gradeSpan,virtual,grade,gradeStatus,gradeYear,sourceYear,sourceUrl,website,reportUrl,affiliationSourceUrl,affiliationSourceYear,addressSourceUrl,locationSourceUrl,resourcesCheckedAt,resourceSourceUrl,campusNote,programName,programSourceUrl,programSourceYear
"public-nces-120051000811","120051000811","A. K. Suter Elementary School","FL","Escambia","Pensacola","501 PICKENS AVE","32503","30.425716","-87.182746","public","false","","","","KG-05","false","A","A","2025-26","2024-25","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120051000811","http://www.escambiaschools.org/","/schools/a-k-suter-elementary-school","","","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120051000811","","","","","","",""
"public-nces-120051004345","120051004345","Achieve Academy At Mcmillian","FL","Escambia","Pensacola","3000 OWEN BELL LN","32507","30.36087","-87.341823","public","false","","","","KG-12","false","","","","2024-25","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120051004345","http://www.escambiaschools.org/","/schools/achieve-academy-at-mcmillian","","","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120051004345","","","","","","",""
"public-nces-120138001353","120138001353","Addie R. Lewis School","FL","Okaloosa","Valparaiso","281 MISSISSIPPI AVE","32580","30.492866","-86.492939","public","false","","","","PK-08","false","A","A","2025-26","2024-25","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120138001353","","/schools/addie-r-lewis-school","","","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120138001353","","","","","","",""
"public-nces-120138003881","120138003881","Adjudicated Youth Facility","FL","Okaloosa","Crestview","4448 STRAIGHT LINE RD","32539","30.69897","-86.522251","public","false","","","","06-12","false","","","","2024-25","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120138003881","","/schools/adjudicated-youth-facility","","","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120138003881","","","","","","",""
"private-private-A2100804","A2100804","Advanced Sacred Hope Academy","FL","Okaloosa","Mary Esther","144 US HIGHWAY 98","32569","30.410294","-86.662766","private","false","","false","Nonsectarian","KG-9","","","","","2023-24","https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&ID=A2100804","https://advancedsacredhopeacademy.org/","/schools/advanced-sacred-hope-academy","https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&ID=A2100804","2023-24","https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&ID=A2100804","https://nces.ed.gov/opengis/rest/services/K12_School_Locations/EDGE_GEOCODE_PRIVATESCH_2324/MapServer/0/query?where=%28STATE%3D%27FL%27+AND+CNTY+IN+%28%27033%27%2C%27113%27%2C%27091%27%29%29+OR+%28STATE%3D%27AL%27+AND+CNTY%3D%27003%27%29&outFields=*&returnGeometry=false&orderByFields=PPIN&f=json","2026-09-06","https://advancedsacredhopeacademy.org/","The official contact page lists 124 E Miracle Strip Parkway, Suite 503, Mary Esther as a mailing address. It does not verify that this is a replacement physical campus for the directory's 144 US Highway 98 location. Confirm the campus directly.","","",""
"private-private-A9300270","A9300270","Aletheia Christian Academy","FL","Escambia","Pensacola","1700 WOODCHUCK AVE","32504","30.49934","-87.168191","private","false","","true","Christian (no specific denomination)","PK-12","","","","","2023-24","https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&ID=A9300270","https://www.acalions.org/","/schools/aletheia-christian-academy","https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&ID=A9300270","2023-24","https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&ID=A9300270","https://nces.ed.gov/opengis/rest/services/K12_School_Locations/EDGE_GEOCODE_PRIVATESCH_2324/MapServer/0/query?where=%28STATE%3D%27FL%27+AND+CNTY+IN+%28%27033%27%2C%27113%27%2C%27091%27%29%29+OR+%28STATE%3D%27AL%27+AND+CNTY%3D%27003%27%29&outFields=*&returnGeometry=false&orderByFields=PPIN&f=json","2026-09-06","https://www.acalions.org/admissions/how-to-apply","","","",""
"public-nces-120138001320","120138001320","Annette P. Edwins Elementary School","FL","Okaloosa","Fort Walton Beach","7 WRIGHT PKWY SW","32548","30.412147","-86.638443","public","false","","","","PK-05","false","B","B","2025-26","2024-25","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120138001320","","/schools/annette-p-edwins-elementary-school","","","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120138001320","","","","","","",""
"public-nces-120138003209","120138003209","Antioch Elementary School","FL","Okaloosa","Crestview","4700 WHITEHURST LN","32536","30.713778","-86.610858","public","false","","","","PK-05","false","A","A","2025-26","2024-25","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120138003209","","/schools/antioch-elementary-school","","","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120138003209","","","","","","",""
"public-nces-120165003664","120165003664","Avalon Middle School","FL","Santa Rosa","Milton","5445 KING ARTHURS WAY","32583","30.570757","-87.097146","public","false","","","","06-08","false","B","B","2025-26","2024-25","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120165003664","http://www.santarosa.k12.fl.us/schools/ams/","/schools/avalon-middle-school","","","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120165003664","","","","","","",""
"public-nces-120165001815","120165001815","Bagdad Elementary School","FL","Santa Rosa","Milton","4512 FORSYTH ST","32583","30.598405","-87.029736","public","false","","","","PK-05","false","C","C","2025-26","2024-25","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120165001815","http://www.santarosa.k12.fl.us/schools/bes/","/schools/bagdad-elementary-school","","","https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?ID=120165001815","","","","","","",""
