OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|OID_COUNTY_20|GEOID_COUNTY_20|NAMELSAD_COUNTY_20|AREALAND_COUNTY_20|AREAWATER_COUNTY_20|MTFCC_COUNTY_20|CLASSFP_COUNTY_20|FUNCSTAT_COUNTY_20|AREALAND_PART|AREAWATER_PART
221704258283024|32501|ZCTA5 32501|9550036|97899|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|9550036|97899
221704258283038|32502|ZCTA5 32502|6944058|248011|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|6944058|248011
221704258283063|32503|ZCTA5 32503|32661185|1582711|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|32661185|1582711
221704258283082|32504|ZCTA5 32504|27167739|107085|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|27167739|107085
221704258283110|32505|ZCTA5 32505|33553269|645645|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|33553269|645645
221704258283142|32506|ZCTA5 32506|79247429|32667155|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|79247429|32667155
221704258283165|32507|ZCTA5 32507|72190105|39731500|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|72190105|39731500
221704258283194|32514|ZCTA5 32514|51328342|1128346|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|51328342|1128346
221704258283220|32526|ZCTA5 32526|151284811|8755688|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|151284811|8755688
221704258283255|32533|ZCTA5 32533|199866499|3532751|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|199866499|3532751
221704258283276|32534|ZCTA5 32534|25607000|193556|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|25607000|193556
221704258283326|32536|ZCTA5 32536|110057312|2000780|G6350|B5|S|2759088096446|12091|Okaloosa County|2409192557|819717338|G4020|H1|A|110057312|2000780
221704258283348|32539|ZCTA5 32539|331374844|4485432|G6350|B5|S|2759088096446|12091|Okaloosa County|2409192557|819717338|G4020|H1|A|293828904|4485239
221704258283348|32539|ZCTA5 32539|331374844|4485432|G6350|B5|S|2759091152601|12131|Walton County|2689165614|961289588|G4020|H1|A|37545940|193
221704258283370|32541|ZCTA5 32541|32537686|16741676|G6350|B5|S|2759088096446|12091|Okaloosa County|2409192557|819717338|G4020|H1|A|32537686|16741676
221704258283390|32547|ZCTA5 32547|75076581|3118516|G6350|B5|S|2759088096446|12091|Okaloosa County|2409192557|819717338|G4020|H1|A|75076581|3118516
221704258283397|32548|ZCTA5 32548|31293508|17312523|G6350|B5|S|2759088096446|12091|Okaloosa County|2409192557|819717338|G4020|H1|A|31293508|17312523
221704258283414|32561|ZCTA5 32561|31177869|68426854|G6350|B5|S|27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|19054887|62514263
221704258283414|32561|ZCTA5 32561|31177869|68426854|G6350|B5|S|2759090303811|12113|Santa Rosa County|2622106399|543294939|G4020|H1|A|12122982|5912591
221704258283426|32563|ZCTA5 32563|43086275|25929046|G6350|B5|S|2759090303811|12113|Santa Rosa County|2622106399|543294939|G4020|H1|A|43086275|25929046
221704258283461|32566|ZCTA5 32566|101447890|33312858|G6350|B5|S|2759090303811|12113|Santa Rosa County|2622106399|543294939|G4020|H1|A|101447890|33312858
221704258283509|32569|ZCTA5 32569|10757973|13036719|G6350|B5|S|2759088096446|12091|Okaloosa County|2409192557|819717338|G4020|H1|A|10757973|13036719
221704258283538|32570|ZCTA5 32570|779756373|5318463|G6350|B5|S|2759090303811|12113|Santa Rosa County|2622106399|543294939|G4020|H1|A|779756373|5318463
221704258283555|32571|ZCTA5 32571|291666388|7519362|G6350|B5|S|2759090303811|12113|Santa Rosa County|2622106399|543294939|G4020|H1|A|291666388|7519362
221704258283600|32578|ZCTA5 32578|60016997|10900231|G6350|B5|S|2759088096446|12091|Okaloosa County|2409192557|819717338|G4020|H1|A|58452825|10861001
221704258283600|32578|ZCTA5 32578|60016997|10900231|G6350|B5|S|2759091152601|12131|Walton County|2689165614|961289588|G4020|H1|A|1564172|39230
221704258283606|32579|ZCTA5 32579|9032976|6185795|G6350|B5|S|2759088096446|12091|Okaloosa County|2409192557|819717338|G4020|H1|A|9032976|6185795
221704258283611|32580|ZCTA5 32580|20084269|2027979|G6350|B5|S|2759088096446|12091|Okaloosa County|2409192557|819717338|G4020|H1|A|20084269|2027979
221704258283656|32583|ZCTA5 32583|323912243|10728173|G6350|B5|S|2759090303811|12113|Santa Rosa County|2622106399|543294939|G4020|H1|A|323912243|10728173
