zip,value_date,zillow_city_label,zcta_counties_2020,zhvi_modeled_index,illustrative_monthly_total,cost_minus_FL064_E5_with,cost_minus_FL056_E5_with
"32505","2026-07-31","Pensacola","Escambia County","144690.55694017964","2304.71","441.71","-128.29"
"32534","2026-07-31","Pensacola","Escambia County","239659.56463187633","2931.34","1068.34","498.34"
"32506","2026-07-31","Pensacola","Escambia County","246560.24401774083","2976.88","1113.88","543.88"
"32514","2026-07-31","Pensacola","Escambia County","261923.90270141338","3078.25","1215.25","645.25"
"32501","2026-07-31","Pensacola","Escambia County","267024.8161764539","3111.91","1248.91","678.91"
"32504","2026-07-31","Pensacola","Escambia County","272183.0505604818","3145.94","1282.94","712.94"
"32570","2026-07-31","Milton","Santa Rosa County","278380.21249309904","3186.83","1323.83","753.83"
"32526","2026-07-31","Pensacola","Escambia County","283108.70029013715","3218.03","1355.03","785.03"
"32539","2026-07-31","Crestview","Okaloosa County / Walton County","284748.22078333976","3228.85","1365.85","795.85"
"32583","2026-07-31","Milton","Santa Rosa County","292188.9925870022","3277.95","1414.95","844.95"
"32536","2026-07-31","Crestview","Okaloosa County","295931.3702020872","3302.64","1439.64","869.64"
"32503","2026-07-31","Pensacola","Escambia County","297279.9558776209","3311.54","1448.54","878.54"
"32547","2026-07-31","Fort Walton Beach","Okaloosa County","316555.2498289112","3438.72","1575.72","1005.72"
"32569","2026-07-31","Mary Esther","Okaloosa County","322212.101843433","3476.05","1613.05","1043.05"
"32533","2026-07-31","Cantonment","Escambia County","328407.63824926474","3516.93","1653.93","1083.93"
"32571","2026-07-31","Pace","Santa Rosa County","330382.4338282451","3529.96","1666.96","1096.96"
"32580","2026-07-31","Eglin AFB","Okaloosa County","331445.9070730158","3536.98","1673.98","1103.98"
"32502","2026-07-31","Pensacola","Escambia County","333763.05260287685","3552.27","1689.27","1119.27"
"32548","2026-07-31","Fort Walton Beach","Okaloosa County","341402.18292158726","3602.67","1739.67","1169.67"
"32507","2026-07-31","Pensacola","Escambia County","369610.0550911052","3788.8","1925.8","1355.8"
"32579","2026-07-31","Shalimar","Okaloosa County","388946.41738583846","3916.38","2053.38","1483.38"
"32563","2026-07-31","Gulf Breeze","Santa Rosa County","406682.6889077345","4033.41","2170.41","1600.41"
"32566","2026-07-31","Navarre","Santa Rosa County","421657.46276167565","4132.22","2269.22","1699.22"
"32578","2026-07-31","Niceville","Okaloosa County / Walton County","440989.84399482555","4259.78","2396.78","1826.78"
"32541","2026-07-31","Destin","Okaloosa County","627422.0616560398","5489.91","3626.91","3056.91"
"32561","2026-07-31","Gulf Breeze","Escambia County / Santa Rosa County","686211.0550588475","5877.82","4014.82","3444.82"
